"Key","Item Type","Publication Year","Author","Title","Publication Title","ISBN","ISSN","DOI","Url","Abstract Note","Date","Date Added","Date Modified","Access Date","Pages","Num Pages","Issue","Volume","Number Of Volumes","Journal Abbreviation","Short Title","Series","Series Number","Series Text","Series Title","Publisher","Place","Language","Rights","Type","Archive","Archive Location","Library Catalog","Call Number","Extra","Notes","File Attachments","Link Attachments","Manual Tags","Automatic Tags","Editor","Series Editor","Translator","Contributor","Attorney Agent","Book Author","Cast Member","Commenter","Composer","Cosponsor","Counsel","Interviewer","Producer","Recipient","Reviewed Author","Scriptwriter","Words By","Guest","Number","Edition","Running Time","Scale","Medium","Artwork Size","Filing Date","Application Number","Assignee","Issuing Authority","Country","Meeting Name","Conference Name","Court","References","Reporter","Legal Status","Priority Numbers","Programming Language","Version","System","Code","Code Number","Section","Session","Committee","History","Legislative Body"
"XHMHPVIU","journalArticle","2004","Austin, Amy T.; Yahdjian, Laura; Stark, John M.; Belnap, Jayne; Porporato, Amilcare; Norton, Urszula; Ravetta, Damián A.; Schaeffer, Sean M.","Water pulses and biogeochemical cycles in arid and semiarid ecosystems","Oecologia","","0029-8549, 1432-1939","10.1007/s00442-004-1519-1","http://link.springer.com/10.1007/s00442-004-1519-1","","2004-10","2024-10-06 17:56:13","2024-10-06 17:56:13","2024-10-06 17:55:40","221-235","","2","141","","Oecologia","","","","","","","","en","http://www.springer.com/tdm","","","","DOI.org (Crossref)","","","","C:\Users\rache\Zotero\storage\S78WS9XH\Austin et al. - 2004 - Water pulses and biogeochemical cycles in arid and.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"H9HN4U2M","journalArticle","2008","Lauenroth, William K.; Milchunas, Daniel G.; Sala, Osvaldo E.; Burke, Ingrid C.; Morgan, Jack A.","Net primary production in the shortgrass steppe","Ecology of the shortgrass steppe: a long term perspective. Oxford Univ. Press, NY","","","","https://www.researchgate.net/profile/Ingrid-Burke/publication/43279620_Net_Primary_Production_in_the_Shortgrass_Steppe/links/0c96053a9fee1c8089000000/Net-Primary-Production-in-the-Shortgrass-Steppe.pdf","","2008","2024-10-06 17:56:13","2024-10-06 17:56:13","2024-10-06 17:55:49","270–305","","","","","","","","","","","","","","","","","","Google Scholar","","","","C:\Users\rache\Zotero\storage\9FNAFALN\Lauenroth et al. - 2008 - Net primary production in the shortgrass steppe.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"VYDTUCXP","journalArticle","2021","Kong, Kaman; Nandintsetseg, Banzragch; Shinoda, Masato","How plant production in the Mongolian grasslands is affected by wind-eroded coarse-textured topsoil","Journal of Arid Environments","","","","https://www.sciencedirect.com/science/article/pii/S0140196321000094","","2021","2024-10-06 17:56:13","2024-10-06 17:56:13","2024-10-06 17:55:52","104443","","","189","","","","","","","","","","","","","","","Google Scholar","","Publisher: Elsevier","","C:\Users\rache\Zotero\storage\GQB23ZV4\S0140196321000094.html","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"DHZ6WDHK","journalArticle","2012","Looney, Christopher E.; Sullivan, Benjamin W.; Kolb, Thomas E.; Kane, Jeffrey M.; Hart, Stephen C.","Pinyon pine (Pinus edulis) mortality and response to water addition across a three million year substrate age gradient in northern Arizona, USA","Plant and Soil","","0032-079X, 1573-5036","10.1007/s11104-012-1150-6","http://link.springer.com/10.1007/s11104-012-1150-6","","2012-08","2024-10-06 17:56:13","2024-10-06 17:56:13","2024-10-06 17:55:52","89-102","","1-2","357","","Plant Soil","","","","","","","","en","http://www.springer.com/tdm","","","","DOI.org (Crossref)","","","","C:\Users\rache\Zotero\storage\963SZL2U\Looney et al. - 2012 - Pinyon pine (Pinus edulis) mortality and response .pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"6K5TKTPE","journalArticle","2020","Detsis, Vassilis; Efthimiou, Georgios; Theodoropoulou, Olga; Siorokou, Stavroula","Determination of the environmental factors that affect the growth and survival of Greek Fir seedlings","Land","","","","https://www.mdpi.com/2073-445X/9/4/100","","2020","2024-10-06 17:56:13","2024-10-06 17:56:13","2024-10-06 17:55:55","100","","4","9","","","","","","","","","","","","","","","Google Scholar","","Publisher: MDPI","","C:\Users\rache\Zotero\storage\LMH859QS\Detsis et al. - 2020 - Determination of the environmental factors that af.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"GD7DDHEI","journalArticle","2022","Küçük, Çağlar; Koirala, Sujan; Carvalhais, Nuno; Miralles, Diego G.; Reichstein, Markus; Jung, Martin","Characterizing the Response of Vegetation Cover to Water Limitation in Africa Using Geostationary Satellites","Journal of Advances in Modeling Earth Systems","","1942-2466, 1942-2466","10.1029/2021MS002730","https://agupubs.onlinelibrary.wiley.com/doi/10.1029/2021MS002730","Abstract             Hydrological interactions between vegetation, soil, and topography are complex, and heterogeneous in semi‐arid landscapes. This along with data scarcity poses challenges for large‐scale modeling of vegetation‐water interactions. Here, we exploit metrics derived from daily Meteosat data over Africa at ca. 5 km spatial resolution for ecohydrological analysis. Their spatial patterns are based on Fractional Vegetation Cover (FVC) time series and emphasize limiting conditions of the seasonal wet to dry transition: the minimum and maximum FVC of temporal record, the FVC decay rate and the FVC integral over the decay period. We investigate the relevance of these metrics for large scale ecohydrological studies by assessing their co‐variation with soil moisture, and with topographic, soil, and vegetation factors. Consistent with our initial hypothesis, FVC minimum and maximum increase with soil moisture, while the FVC integral and decay rate peak at intermediate soil moisture. We find evidence for the relevance of topographic moisture variations in arid regions, which, counter‐intuitively, is detectable in the maximum but not in the minimum FVC. We find no clear evidence for wide‐spread occurrence of the “inverse texture effect” on FVC. The FVC integral over the decay period correlates with independent data sets of plant water storage capacity or rooting depth while correlations increase with aridity. In arid regions, the FVC decay rate decreases with canopy height and tree cover fraction as expected for ecosystems with a more conservative water‐use strategy. Thus, our observation‐based products have large potential for better understanding complex vegetation‐water interactions from regional to continental scales.           ,              Plain Language Summary             Local‐scale processes controlling vegetation dynamics under water limitation are highly uncertain at large scales, despite their importance on global carbon and water cycles. This is particularly pronounced in Africa due to the scarcity of ground measurements despite the importance of African ecosystems due to their contribution to global cycles and their services to population. In order to overcome this problem, we developed a set of metrics based on the fractional vegetation cover observed from the European geostationary satellite. The metrics, derived from the daily fractional vegetation cover data help diagnose ecohydrological processes thanks to their high spatiotemporal resolution. Initial analyses show consistent continental gradients in the metrics together with strong local variations and corroboration with different data sets from independent sources, in agreement with the literature.           ,              Key Points                                                                We derive ecohydrological metrics from seasonal decays in geostationary satellite data of vegetation cover over Africa at 5 km resolution                                                     The metrics covary with soil moisture, contain information on water sources apart from precipitation and vegetation access by deep rooting                                                     Land surface models can benefit from these metrics by tailored evaluation, calibration, and parameterization of ecohydrological processes","2022-03","2024-10-06 17:56:13","2024-10-06 17:56:13","2024-10-06 17:55:55","e2021MS002730","","3","14","","J Adv Model Earth Syst","","","","","","","","en","","","","","DOI.org (Crossref)","","","","C:\Users\rache\Zotero\storage\R4BISG9S\Küçük et al. - 2022 - Characterizing the Response of Vegetation Cover to.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"RL6UT253","preprint","2021","Küçük, Çağlar; Koirala, Sujan; Carvalhais, Nuno; Miralles, Diego G.; Reichstein, Markus; Jung, Martin","Characterising the response of vegetation cover to water limitation in Africa using geostationary satellites","","","","10.1002/essoar.10504964.2","https://essopenarchive.org/doi/full/10.1002/essoar.10504964.2","","2021-08-19","2024-10-06 17:56:13","2024-10-06 17:56:13","2024-10-06 17:55:58","","","","","","","","","","","","","","en","","","","","Hydrology","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"PV6CV8HJ","journalArticle","2013","Hall, Sharon J.; Trujillo, Jolene; Nakase, Dana; Strawhacker, Colleen; Kruse-Peeples, Melissa; Schaafsma, Hoski; Briggs, John","Legacies of Prehistoric Agricultural Practices Within Plant and Soil Properties Across an Arid Ecosystem","Ecosystems","","1432-9840, 1435-0629","10.1007/s10021-013-9681-0","http://link.springer.com/10.1007/s10021-013-9681-0","","2013-11","2024-10-06 17:56:13","2024-10-06 17:56:13","2024-10-06 17:56:01","1273-1293","","7","16","","Ecosystems","","","","","","","","en","http://www.springer.com/tdm","","","","DOI.org (Crossref)","","","","C:\Users\rache\Zotero\storage\TPMBD7JQ\Hall et al. - 2013 - Legacies of Prehistoric Agricultural Practices Wit.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"WI89AC2X","journalArticle","2013","Siegal, Zehava; Tsoar, Haim; Karnieli, Arnon","Effects of prolonged drought on the vegetation cover of sand dunes in the NW Negev Desert: field survey, remote sensing and conceptual modeling","Aeolian Research","","","","https://www.sciencedirect.com/science/article/pii/S1875963713000177","","2013","2024-10-06 17:56:13","2024-10-06 17:56:13","2024-10-06 17:56:10","161–173","","","9","","","Effects of prolonged drought on the vegetation cover of sand dunes in the NW Negev Desert","","","","","","","","","","","","Google Scholar","","Publisher: Elsevier","","C:\Users\rache\Zotero\storage\7WYBZKU7\S1875963713000177.html","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"A2N569X2","journalArticle","2009","Yang, Y. H.; Fang, J. Y.; Pan, Y. D.; Ji, C. J.","Aboveground biomass in Tibetan grasslands","Journal of Arid Environments","","","","https://www.sciencedirect.com/science/article/pii/S0140196308002814","","2009","2024-10-06 17:56:13","2024-10-06 17:56:13","2024-10-06 17:56:13","91–95","","1","73","","","","","","","","","","","","","","","Google Scholar","","Publisher: Elsevier","","C:\Users\rache\Zotero\storage\G4ALK7KI\S0140196308002814.html","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"MX7DI657","journalArticle","2008","Steppe, Shortgrass","Net primary production (NPP), the amount of carbon or energy fixed by green plants in excess of their respiratory needs, is the funda-mental quantity upon which all heterotrophs and the ecosystem processes they are associated with depend. Understanding NPP is therefore a prerequisite to under-standing ecosystem dynamics. Our objectives for this chapter are to describe the current state of our knowledge about the temporal and spatial patterns of NPP in the shortgrass steppe, to evaluate the important variables that control NPP, and to discuss the future of NPP in the shortgrass steppe given current hypotheses","Ecology of the Shortgrass Steppe: A Long-Term Perspective","","","","https://books.google.com/books?hl=en&lr=&id=g4YRDAAAQBAJ&oi=fnd&pg=PA270&dq=%22inverse+texture%22+OR+%22inverse-texture%22&ots=IouXLkOQSC&sig=NAfrPF2eXtDv6V2lDPidoL84APA","","2008","2024-10-06 18:09:51","2024-10-06 18:09:51","2024-10-06 18:09:00","270","","","","","","","","","","","","","","","","","","Google Scholar","","Publisher: Oxford University Press","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Z32TPSG7","journalArticle","2018","Zhou, Zhenghu; Wang, Chuankuan; Luo, Yiqi","Response of soil microbial communities to altered precipitation: A global synthesis","Global Ecology and Biogeography","","1466-822X, 1466-8238","10.1111/geb.12761","https://onlinelibrary.wiley.com/doi/10.1111/geb.12761","Abstract                            Aim               Climate change intensifies the hydrological cycle and consequently alters precipitation regimes. Accurately assessing future carbon (C) budgets depends on understanding the influence of altered precipitation on both aboveground C cycling and belowground processes. Our goal was to explore generalities and mechanisms of responses of soil microbial communities to altered precipitation and implications for C cycling in terrestrial ecosystems.                                         Location               Global.                                         Time period               2001–2017.                                         Major taxa studied               Soil microbes.                                         Methods               We used the meta‐analytical technique to synthesize data of 41 increased (IPPT) and 53 decreased precipitation (DPPT) studies from 65 publications worldwide. The data covered broad variations in climate, percentage of precipitation change, experimental duration and soil properties.                                         Results               The fungi to bacteria ratio did not show a water‐tolerant shift, but the community compositions within the bacteria did. Microbial biomass showed a higher response to moderate IPPT than moderate DPPT, whereas it was more sensitive to extreme DPPT than extreme IPPT, suggesting that the responses of microbial biomass to altered precipitation are double asymmetric. However, such asymmetric responses of microbial biomass varied with climate humidity and soil texture: microbial biomass was more sensitive to IPPT at xeric sites than at mesic sites, whereas it was more responsive to DPPT in humid areas; microbial biomass in coarse‐textured soils was more sensitive to altered precipitation than that in fine‐textured soils. In addition, microbial response was positively correlated with the responses of aboveground/belowground plant biomass, soil respiration and organic C content.                                         Main conclusions               Our meta‐analysis provides the first evidence that the asymmetric response of microbial biomass to altered precipitation varies with climate humidity and soil texture. Given the coordinated responses in the plant–soil–microorganism C continuum, our synthesis extends the double asymmetric model and provides a framework for understanding and modelling responses of ecosystem C cycling to global precipitation change.","2018-09","2024-10-06 18:09:51","2024-10-06 18:09:51","2024-10-06 18:09:00","1121-1136","","9","27","","Global Ecol Biogeogr","Response of soil microbial communities to altered precipitation","","","","","","","en","","","","","DOI.org (Crossref)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"I8G6K3KT","thesis","2019","Wagner, Svenja","Effects of Water Holding Capacity and Precipitation on Above Ground Net Primary Production","","","","","https://search.proquest.com/openview/bb146691972387977a106af8236d49d1/1?pq-origsite=gscholar&cbl=18750&diss=y","","2019","2024-10-06 18:09:51","2024-10-06 18:09:51","2024-10-06 18:09:03","","","","","","","","","","","","Arizona State University","","","","Master's Thesis","","","Google Scholar","","","","C:\Users\rache\Zotero\storage\E5VH23TV\intermediateredirectforezproxy.html","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"4U35J3WZ","journalArticle","2015","Bork, Edward W.; Irving, Barry D.","Seasonal availability of cool-and warm-season herbage in the northern mixed prairie","Rangelands","","","","https://www.sciencedirect.com/science/article/pii/S0190052815000802","","2015","2024-10-06 18:09:51","2024-10-06 18:09:51","2024-10-06 18:09:09","178–185","","5","37","","","","","","","","","","","","","","","Google Scholar","","Publisher: Elsevier","","C:\Users\rache\Zotero\storage\V7WN4527\Bork and Irving - 2015 - Seasonal availability of cool-and warm-season herb.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"TMCP5SP8","journalArticle","2023","Villa, Pedro Manuel; Meira-Neto, João Augusto Alves; Diniz, Écio Souza; Ali, Arshad; Neri, Andreza Viana; Martins, Sebastião Venâncio; Campos, Prímula Viana; Pinto-Junior, Herval Vieira; da Costa, Jamerson Souza; Coelho, Alex Josélio Pires","Soil factors rather than stand age drive tree phylogenetic diversity along Amazon Forest succession","Ecological Engineering","","","","https://www.sciencedirect.com/science/article/pii/S0925857423000241","","2023","2024-10-06 18:09:51","2024-10-06 18:09:51","2024-10-06 18:09:12","106915","","","189","","","","","","","","","","","","","","","Google Scholar","","Publisher: Elsevier","","C:\Users\rache\Zotero\storage\4KBULTY4\S0925857423000241.html","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"F8KKJ5Q8","journalArticle","2007","Smart, Alexander J.; Dunn, Barry H.; Johnson, Patricia S.; Xu, Lan; Gates, Roger N.","Using weather data to explain herbage yield on three Great Plains plant communities","Rangeland Ecology & Management","","","","https://www.sciencedirect.com/science/article/pii/S1550742407500187","","2007","2024-10-06 18:09:51","2024-10-06 18:09:51","2024-10-06 18:09:15","146–153","","2","60","","","","","","","","","","","","","","","Google Scholar","","Publisher: Elsevier","","C:\Users\rache\Zotero\storage\BE8JJIK3\Smart et al. - 2007 - Using weather data to explain herbage yield on thr.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"TXEZ55L3","bookSection","2019","Epstein, H. E.; Lauenroth, W. K.; Paruelo, J. M.; Piñeiro, G.; Burke, I. C.; Barrett, J. E.","Interactions of Water and Nitrogen on Primary Productivity Across Spatial and Temporal Scales in Grassland and Shrubland Ecosystems","Dryland Ecohydrology","978-3-030-23268-9 978-3-030-23269-6","","","http://link.springer.com/10.1007/978-3-030-23269-6_16","","2019","2024-10-06 18:09:51","2024-10-06 18:09:51","2024-10-06 18:09:15","417-437","","","","","","","","","","","Springer International Publishing","Cham","en","","","","","DOI.org (Crossref)","","DOI: 10.1007/978-3-030-23269-6_16","","C:\Users\rache\Zotero\storage\PTGYCJCU\Epstein et al. - 2019 - Interactions of Water and Nitrogen on Primary Prod.pdf","","","","D'Odorico, Paolo; Porporato, Amilcare; Wilkinson Runyan, Christiane","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"N2YZKSM4","journalArticle","1999","Lauenroth, William K.; Burke, Ingrid C.; Gutmann, Myron P.","The structure and function of ecosystems in the central North American grassland region","Great Plains Research","","","","https://www.jstor.org/stable/23778224","","1999","2024-10-06 18:09:51","2024-10-06 18:09:51","2024-10-06 18:09:18","223–259","","","","","","","","","","","","","","","","","","Google Scholar","","Publisher: JSTOR","","C:\Users\rache\Zotero\storage\ANALDQVL\Lauenroth et al. - 1999 - The structure and function of ecosystems in the ce.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
