"Key","Item Type","Publication Year","Author","Title","Publication Title","ISBN","ISSN","DOI","Url","Abstract Note","Date","Date Added","Date Modified","Access Date","Pages","Num Pages","Issue","Volume","Number Of Volumes","Journal Abbreviation","Short Title","Series","Series Number","Series Text","Series Title","Publisher","Place","Language","Rights","Type","Archive","Archive Location","Library Catalog","Call Number","Extra","Notes","File Attachments","Link Attachments","Manual Tags","Automatic Tags","Editor","Series Editor","Translator","Contributor","Attorney Agent","Book Author","Cast Member","Commenter","Composer","Cosponsor","Counsel","Interviewer","Producer","Recipient","Reviewed Author","Scriptwriter","Words By","Guest","Number","Edition","Running Time","Scale","Medium","Artwork Size","Filing Date","Application Number","Assignee","Issuing Authority","Country","Meeting Name","Conference Name","Court","References","Reporter","Legal Status","Priority Numbers","Programming Language","Version","System","Code","Code Number","Section","Session","Committee","History","Legislative Body"
"6CC7MZY4","journalArticle","1989","Liang, Y. M.; Hazlett, D. L.; Lauenroth, W. K.","Biomass dynamics and water use efficiencies of five plant communities in the shortgrass steppe","Oecologia","","","","https://idp.springer.com/authorize/casa?redirect_uri=https://link.springer.com/article/10.1007/BF00380143&casa_token=FTGelbVNXM4AAAAA:VKhWinJGcDbjxVf_mtrbqXeM1X-kAE2Nbj0eoaW28os8kfI9ZvACypn-zpFVP-B1XvNArTTbnd_OAmQvXg","","1989","2024-10-05 01:18:23","2024-10-05 01:18:23","2024-10-05 01:17:57","148–153","","","80","","","","","","","","","","","","","","","Google Scholar","","Publisher: Springer","","C:\Users\rache\Zotero\storage\GI38HM8W\Liang et al. - 1989 - Biomass dynamics and water use efficiencies of fiv.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"VJCT3TIE","journalArticle","2015","Hoover, David L.; Duniway, Michael C.; Belnap, Jayne","Pulse-drought atop press-drought: unexpected plant responses and implications for dryland ecosystems","Oecologia","","","","https://idp.springer.com/authorize/casa?redirect_uri=https://link.springer.com/article/10.1007/s00442-015-3414-3&casa_token=DJSQ_SteE3UAAAAA:eYvUyyeZ5P0HW-L1czx1Gjg_SSvvTAgHtwr9tsvcKWtSsOwMSKhhABTv43TTxNrUBH1V0YAOjZQx3AUqeQ","","2015","2024-10-05 01:18:23","2024-10-05 01:18:23","2024-10-05 01:17:59","1211–1221","","","179","","","Pulse-drought atop press-drought","","","","","","","","","","","","Google Scholar","","Publisher: Springer","","C:\Users\rache\Zotero\storage\LPGWYGHI\s00442-015-3414-3.html","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"B2SWH4KY","journalArticle","2004","Austin, Amy T.; Yahdjian, Laura; Stark, John M.; Belnap, Jayne; Porporato, Amilcare; Norton, Urszula; Ravetta, Damián A.; Schaeffer, Sean M.","Water pulses and biogeochemical cycles in arid and semiarid ecosystems","Oecologia","","","","https://idp.springer.com/authorize/casa?redirect_uri=https://link.springer.com/article/10.1007/s00442-004-1519-1&casa_token=wPzZc5Q7prMAAAAA:-S-xbJhokOsUwJ4vR9o49gYl0lkenK3TzgR9HZpECVjrsy7W27NmRhmsTdM9jUsijVoc0OhIp2cLa0_-Jw","","2004","2024-10-05 01:18:23","2024-10-05 01:18:23","2024-10-05 01:18:05","221–235","","","141","","","","","","","","","","","","","","","Google Scholar","","Publisher: Springer","","C:\Users\rache\Zotero\storage\TNJSH6W3\s00442-004-1519-1.html","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"WQ2Q89ZI","journalArticle","2008","Lauenroth, William K.; Milchunas, Daniel G.; Sala, Osvaldo E.; Burke, Ingrid C.; Morgan, Jack A.","Net primary production in the shortgrass steppe","Ecology of the shortgrass steppe: a long term perspective. Oxford Univ. Press, NY","","","","https://www.researchgate.net/profile/Ingrid-Burke/publication/43279620_Net_Primary_Production_in_the_Shortgrass_Steppe/links/0c96053a9fee1c8089000000/Net-Primary-Production-in-the-Shortgrass-Steppe.pdf","","2008","2024-10-05 01:18:23","2024-10-05 01:18:23","2024-10-05 01:18:08","270–305","","","","","","","","","","","","","","","","","","Google Scholar","","","","C:\Users\rache\Zotero\storage\F4DM5STP\Lauenroth et al. - 2008 - Net primary production in the shortgrass steppe.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"7N4UF4TJ","journalArticle","2021","Kong, Kaman; Nandintsetseg, Banzragch; Shinoda, Masato","How plant production in the Mongolian grasslands is affected by wind-eroded coarse-textured topsoil","Journal of Arid Environments","","","","https://www.sciencedirect.com/science/article/pii/S0140196321000094?casa_token=eSkaybM4oEYAAAAA:tz2fsewUXSn_-y7fWHpCKxPc73xyn4Z2__3Nyq_qr3Hpxj6tZjrtcecocCwDe6-2dlou02SLDmo","","2021","2024-10-05 01:18:23","2024-10-05 01:18:23","2024-10-05 01:18:11","104443","","","189","","","","","","","","","","","","","","","Google Scholar","","Publisher: Elsevier","","C:\Users\rache\Zotero\storage\W8GC8252\S0140196321000094.html","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"SQK2AZT4","journalArticle","2020","Detsis, Vassilis; Efthimiou, Georgios; Theodoropoulou, Olga; Siorokou, Stavroula","Determination of the environmental factors that affect the growth and survival of Greek Fir seedlings","Land","","","","https://www.mdpi.com/2073-445X/9/4/100","","2020","2024-10-05 01:18:23","2024-10-05 01:18:23","2024-10-05 01:18:14","100","","4","9","","","","","","","","","","","","","","","Google Scholar","","Publisher: MDPI","","C:\Users\rache\Zotero\storage\DFGKEFFD\Detsis et al. - 2020 - Determination of the environmental factors that af.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"AAURWR72","journalArticle","2022","Küçük, Çağlar; Koirala, Sujan; Carvalhais, Nuno; Miralles, Diego G.; Reichstein, Markus; Jung, Martin","Characterizing the Response of Vegetation Cover to Water Limitation in Africa Using Geostationary Satellites","Journal of Advances in Modeling Earth Systems","","1942-2466, 1942-2466","10.1029/2021MS002730","https://agupubs.onlinelibrary.wiley.com/doi/10.1029/2021MS002730","Abstract             Hydrological interactions between vegetation, soil, and topography are complex, and heterogeneous in semi‐arid landscapes. This along with data scarcity poses challenges for large‐scale modeling of vegetation‐water interactions. Here, we exploit metrics derived from daily Meteosat data over Africa at ca. 5 km spatial resolution for ecohydrological analysis. Their spatial patterns are based on Fractional Vegetation Cover (FVC) time series and emphasize limiting conditions of the seasonal wet to dry transition: the minimum and maximum FVC of temporal record, the FVC decay rate and the FVC integral over the decay period. We investigate the relevance of these metrics for large scale ecohydrological studies by assessing their co‐variation with soil moisture, and with topographic, soil, and vegetation factors. Consistent with our initial hypothesis, FVC minimum and maximum increase with soil moisture, while the FVC integral and decay rate peak at intermediate soil moisture. We find evidence for the relevance of topographic moisture variations in arid regions, which, counter‐intuitively, is detectable in the maximum but not in the minimum FVC. We find no clear evidence for wide‐spread occurrence of the “inverse texture effect” on FVC. The FVC integral over the decay period correlates with independent data sets of plant water storage capacity or rooting depth while correlations increase with aridity. In arid regions, the FVC decay rate decreases with canopy height and tree cover fraction as expected for ecosystems with a more conservative water‐use strategy. Thus, our observation‐based products have large potential for better understanding complex vegetation‐water interactions from regional to continental scales.           ,              Plain Language Summary             Local‐scale processes controlling vegetation dynamics under water limitation are highly uncertain at large scales, despite their importance on global carbon and water cycles. This is particularly pronounced in Africa due to the scarcity of ground measurements despite the importance of African ecosystems due to their contribution to global cycles and their services to population. In order to overcome this problem, we developed a set of metrics based on the fractional vegetation cover observed from the European geostationary satellite. The metrics, derived from the daily fractional vegetation cover data help diagnose ecohydrological processes thanks to their high spatiotemporal resolution. Initial analyses show consistent continental gradients in the metrics together with strong local variations and corroboration with different data sets from independent sources, in agreement with the literature.           ,              Key Points                                                                We derive ecohydrological metrics from seasonal decays in geostationary satellite data of vegetation cover over Africa at 5 km resolution                                                     The metrics covary with soil moisture, contain information on water sources apart from precipitation and vegetation access by deep rooting                                                     Land surface models can benefit from these metrics by tailored evaluation, calibration, and parameterization of ecohydrological processes","2022-03","2024-10-05 01:18:23","2024-10-05 01:18:23","2024-10-05 01:18:15","e2021MS002730","","3","14","","J Adv Model Earth Syst","","","","","","","","en","","","","","DOI.org (Crossref)","","","","C:\Users\rache\Zotero\storage\LRYHGX5B\Küçük et al. - 2022 - Characterizing the Response of Vegetation Cover to.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"P7LLH97X","journalArticle","2012","Looney, Christopher E.; Sullivan, Benjamin W.; Kolb, Thomas E.; Kane, Jeffrey M.; Hart, Stephen C.","Pinyon pine (Pinus edulis) mortality and response to water addition across a three million year substrate age gradient in northern Arizona, USA","Plant and Soil","","","","https://idp.springer.com/authorize/casa?redirect_uri=https://link.springer.com/article/10.1007/s11104-012-1150-6&casa_token=Rw9q-JvZN8kAAAAA:fsMZZ9LzAKR5XDYerktS7NoAyCw54QwVj2YZ8hPbzy-OISH2igyuezPQtyoMoNUzO5P86O3l7qFzUVdHrQ","","2012","2024-10-05 01:18:23","2024-10-05 01:18:23","2024-10-05 01:18:17","89–102","","","357","","","","","","","","","","","","","","","Google Scholar","","Publisher: Springer","","C:\Users\rache\Zotero\storage\34RFEJGA\s11104-012-1150-6.html","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"4PJMQNQI","journalArticle","2001","Laio, Francesco; Porporato, Amilcare; Fernandez-Illescas, C. P.; Rodriguez-Iturbe, I.","Plants in water-controlled ecosystems: active role in hydrologic processes and response to water stress: IV. Discussion of real cases","Advances in Water Resources","","","","https://www.sciencedirect.com/science/article/pii/S0309170801000070?casa_token=i9Qmck4gj_8AAAAA:p78dNwqy98mUkpKYBqcJpW8uYOTmOorPO1zgP3hX3seK410zS1om0rftDuVO3aenj39NYdlZ9mo","","2001","2024-10-05 01:18:23","2024-10-05 01:18:23","2024-10-05 01:18:23","745–762","","7","24","","","Plants in water-controlled ecosystems","","","","","","","","","","","","Google Scholar","","Publisher: Elsevier","","C:\Users\rache\Zotero\storage\23LAZGYK\S0309170801000070.html","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"9UK6L3BJ","journalArticle","2019","Ji, Wenjie; Hanan, Niall P.; Browning, Dawn M.; Monger, H. Curtis; Peters, Debra P. C.; Bestelmeyer, Brandon T.; Archer, Steve R.; Ross, C. Wade; Lind, Brianna M.; Anchang, Julius; Kumar, Sanath S.; Prihodko, Lara","Constraints on shrub cover and shrub–shrub competition in a U.S. southwest desert","Ecosphere","","2150-8925, 2150-8925","10.1002/ecs2.2590","https://esajournals.onlinelibrary.wiley.com/doi/10.1002/ecs2.2590","Abstract             The cover of woody perennial plants (trees and shrubs) in arid ecosystems is at least partially constrained by water availability. However, the extent to which maximum canopy cover is limited by rainfall and the degree to which soil water holding capacity and topography impacts maximum shrub cover are not well understood. Similar to other deserts in the U.S. southwest, plant communities at the Jornada Basin Long‐Term Ecological Research site in the northern Chihuahuan Desert have experienced a long‐term state change from perennial grassland to shrubland dominated by woody plants. To better understand this transformation, and the environmental controls and constraints on shrub cover, we created a shrub cover map using high spatial resolution images and explored how maximum shrub cover varies with landform, water availability, and soil characteristics. Our results indicate that when clay content is below ~18%, the upper limit of shrub cover is positively correlated with plant available water as mediated by surface soil clay influence on water retention. At surface soil clay contents >18%, maximum shrub cover decreases, presumably because the amount of water percolating to depths preferentially used by deep‐rooted shrubs is diminished. In addition, the relationship between shrub cover and density suggests that self‐thinning occurs in denser stands in most landforms of the Jornada Basin, indicating that shrub–shrub competition interacts with soil properties to constrain maximum shrub cover in the northern Chihuahuan Desert.","2019-02","2024-10-05 01:20:35","2024-10-05 01:20:35","2024-10-05 01:19:38","e02590","","2","10","","Ecosphere","","","","","","","","en","","","","","DOI.org (Crossref)","","","","C:\Users\rache\Zotero\storage\5NP7SQKB\Ji et al. - 2019 - Constraints on shrub cover and shrub–shrub competi.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"QB5PW27H","journalArticle","2019","Theilmann, Mira Lizabeth","Interactions Between Ecosystem Dynamics On Belowground Microbial Community Capacity Under Semiarid And Arid Conditions","","","","","https://repository.arizona.edu/bitstream/handle/10150/632865/azu_etd_hr_2019_0231_sip1_m.pdf?sequence=1","","2019","2024-10-05 01:20:35","2024-10-05 01:20:35","2024-10-05 01:19:41","","","","","","","","","","","","","","","","","","","Google Scholar","","Publisher: The University of Arizona.","","C:\Users\rache\Zotero\storage\LZLW7Z7L\Theilmann - 2019 - Interactions Between Ecosystem Dynamics On Belowgr.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"LDF78Q7P","preprint","2021","Küçük, Çağlar; Koirala, Sujan; Carvalhais, Nuno; Miralles, Diego G.; Reichstein, Markus; Jung, Martin","Characterising the response of vegetation cover to water limitation in Africa using geostationary satellites","","","","10.1002/essoar.10504964.2","https://essopenarchive.org/doi/full/10.1002/essoar.10504964.2","","2021-08-19","2024-10-05 01:20:35","2024-10-05 01:20:35","2024-10-05 01:19:41","","","","","","","","","","","","","","en","","","","","Hydrology","","","","C:\Users\rache\Zotero\storage\DRL7SNHM\Küçük et al. - 2021 - Characterising the response of vegetation cover to.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"UUM2FHUT","journalArticle","2013","Hall, Sharon J.; Trujillo, Jolene; Nakase, Dana; Strawhacker, Colleen; Kruse-Peeples, Melissa; Schaafsma, Hoski; Briggs, John","Legacies of prehistoric agricultural practices within plant and soil properties across an arid ecosystem","Ecosystems","","","","https://idp.springer.com/authorize/casa?redirect_uri=https://link.springer.com/article/10.1007/s10021-013-9681-0&casa_token=Zeu3SGo9bZIAAAAA:0r1qgyaHYZJn8I5YS3xQsDmOT8o1goeDK5G_GwdGl5zI8Gfgj_F6EZLrn2BaLQi_klIN3HY_MkV6lM5pUQ","","2013","2024-10-05 01:20:35","2024-10-05 01:20:35","2024-10-05 01:19:49","1273–1293","","","16","","","","","","","","","","","","","","","Google Scholar","","Publisher: Springer","","C:\Users\rache\Zotero\storage\CGQJVDFG\s10021-013-9681-0.html","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
