"Item.Type","Publication.Year","Author","Title","Publication.Title","DOI","Pages","Issue","Volume","Salaetal_v1","Salaetal_v2"
"journalArticle",2004,"Suau, Roberto Lázaro","Implications of precipitation on vegetation of water-limited lands","","","","",NA,1,1
"journalArticle",2006,"Bradford, John B.; Lauenroth, William K.; Burke, Ingrid C.; Paruelo, Jose M.","The Influence of Climate, Soils, Weather, and Land Use on Primary Production and Biomass Seasonality in the US Great Plains","Ecosystems","10.1007/s10021-004-0164-1","934-950","6",9,1,1
"journalArticle",2006,"Fernandez, Daniel P.; Neff, Jason C.; Belnap, Jayne; Reynolds, Richard L.","Soil respiration in the cold desert environment of the Colorado Plateau (USA): abiotic regulators and thresholds","Biogeochemistry","","247–265","",78,0,1
"journalArticle",2006,"Fernandez, Daniel P.; Neff, Jason C.; Belnap, Jayne; Reynolds, Richard L.","Soil Respiration in the Cold Desert Environment of the Colorado Plateau (USA): Abiotic Regulators and Thresholds","Biogeochemistry","10.1007/s10533-005-4278-0","247-265","3",78,1,0
"thesis",2006,"Kurc, Shirley Anne","Dynamics and controls of ecosystem scale water, carbon, and energy cycling at semiarid grassland and shrubland","","","","",NA,1,1
"journalArticle",2007,"Bucini, Gabriela; Hanan, Niall P.","A continental‐scale analysis of tree cover in African savannas","Global Ecology and Biogeography","10.1111/j.1466-8238.2007.00325.x","593-605","5",16,1,1
"journalArticle",2007,"Smart, Alexander J.; Dunn, Barry H.; Johnson, Patricia S.; Xu, Lan; Gates, Roger N.","Using weather data to explain herbage yield on three Great Plains plant communities","Rangeland Ecology & Management","","146–153","2",60,1,1
"journalArticle",2007,"Strohbach, Ben J.; Petersen, Andreas","Vegetation of the central Kavango woodlands in Namibia: An example from the Mile 46 Livestock Development Centre","South African Journal of Botany","","391–401","3",73,1,1
"thesis",2008,"Herpel, Nicole","The Scale-Dependent Variability of Topsoil Properties Reflecting Ecosystem Patchiness in Drylands of Southern Africa","","","","",NA,1,1
"journalArticle",2008,"Koechy, Martin","Effects of simulated daily precipitation patterns on annual plant populations depend on life stage and climatic region","BMC Ecology","10.1186/1472-6785-8-4","4","1",8,1,1
"journalArticle",2008,"Lauenroth, William K.; Milchunas, Daniel G.; Sala, Osvaldo E.; Burke, Ingrid C.; Morgan, Jack A.","Net primary production in the shortgrass steppe","Ecology of the shortgrass steppe: a long term perspective. Oxford Univ. Press, NY","","270–305","",NA,1,1
"journalArticle",2008,"Steppe, Shortgrass","Net primary production (NPP), the amount of carbon or energy fixed by green plants in excess of their respiratory needs, is the funda-mental quantity upon which all heterotrophs and the ecosystem processes they are associated with depend. Understanding NPP is therefore a prerequisite to under-standing ecosystem dynamics. Our objectives for this chapter are to describe the current state of our knowledge about the temporal and spatial patterns of NPP in the shortgrass steppe, to evaluate the important variables that control NPP, and to discuss the future of NPP in the shortgrass steppe given current hypotheses","Ecology of the Shortgrass Steppe: A Long-Term Perspective","","270","",NA,1,0
"bookSection",2008,"Tsoar, H.","Land Use and its Effect on the Mobilization and Stabilization of the North-Western Negev Sand Dunes","Arid Dune Ecosystems","","79-89","",200,1,1
"journalArticle",2008,"Weng, Ensheng; Luo, Yiqi","Soil hydrological properties regulate grassland ecosystem responses to multifactor global change: A modeling analysis","Journal of Geophysical Research: Biogeosciences","10.1029/2007JG000539","2007JG000539","G3",113,1,1
"journalArticle",2009,"Armstrong, R. D.; Fitzpatrick, J.; Rab, M. A.; Abuzar, M.; Fisher, P. D.; O’Leary, G. J.","Advances in precision agriculture in south-eastern Australia. III. Interactions between soil properties and water use help explain spatial variability of crop production in the Victorian Mallee","Crop and Pasture Science","","870–884","9",60,1,1
"thesis",2009,"Grigg, Alasdair M.","An ecophysiological approach to determine problems associated with mine-site rehabilitation: a case study in the Great Sandy Desert, north-western Australia","","","","",NA,1,1
"journalArticle",2009,"Yang, Y. H.; Fang, J. Y.; Pan, Y. D.; Ji, C. J.","Aboveground biomass in Tibetan grasslands","Journal of Arid Environments","","91–95","1",73,1,1
"journalArticle",2010,"Grigg, Alasdair M.; Lambers, Hans; Veneklaas, Erik J.","Changes in water relations for Acacia ancistrocarpa on natural and mine-rehabilitation sites in response to an experimental wetting pulse in the Great Sandy Desert","Plant and Soil","","75–96","",326,0,1
"journalArticle",2010,"Grigg, Alasdair M.; Lambers, Hans; Veneklaas, Erik J.","Changes in water relations for Acacia ancistrocarpa on natural and mine-rehabilitation sites in response to an experimental wetting pulse in the Great Sandy Desert","Plant and Soil","10.1007/s11104-009-9957-5","75-96","1-2",326,1,0
"journalArticle",2010,"Kochendorfer, J. P.; Ramirez, J. A.","Ecohydrologic controls on vegetation density and evapotranspiration partitioning across the climatic gradients of the central United States","Hydrology and Earth System Sciences","","2121–2139","10",14,1,1
"journalArticle",2010,"Kochendorfer, J. P.; Ramírez, J. A.","Modeling the monthly mean soil-water balance with a statistical-dynamical ecohydrology model as coupled to a two-component canopy model","Hydrology and Earth System Sciences","","2099–2120","10",14,1,1
"thesis",2010,"Winter, Stephen L.","The interaction of fire and grazing in Oklahoma Artemisia filifolia shrubland","","","","",NA,1,1
"thesis",2011,"McCallum, Kimberly C.","Regeneration in a changing climate: Modeling and experimental investigations of Pinus edulis recruitment","","","","",NA,1,0
"book",2011,"Weng, Ensheng","Understanding ecosystem carbon dynamics by modeling approaches","","","","",NA,1,0
"thesis",2011,"Weng, Ensheng","Understanding ecosystem carbon dynamics by modeling approaches","","","","",NA,0,1
"journalArticle",2011,"Werner, Corey M.; Mason, Joseph A.; Hanson, Paul R.","Non-linear connections between dune activity and climate in the High Plains, Kansas and Oklahoma, USA","Quaternary Research","","267–277","1",75,1,1
"journalArticle",2012,"Cabello, J.; Alcaraz-Segura, D.; Ferrero, R.; Castro, A. J.; Liras, E.","The role of vegetation and lithology in the spatial and inter-annual response of EVI to climate in drylands of Southeastern Spain","Journal of Arid Environments","","76–83","",79,1,1
"document",2012,"Dev, Laura; Klein, Julia; Brown, Cynthia; Blumenthal, Dana; Hobbs, N. Thompson","Timing is Important: Seasonality of Precipitation Influences Ecosystem Properties and Response to Grazing","","","","",NA,1,1
"journalArticle",2012,"Looney, Christopher E.; Sullivan, Benjamin W.; Kolb, Thomas E.; Kane, Jeffrey M.; Hart, Stephen C.","Pinyon pine (Pinus edulis) mortality and response to water addition across a three million year substrate age gradient in northern Arizona, USA","Plant and Soil","10.1007/s11104-012-1150-6","89-102","1-2",357,1,1
"journalArticle",2012,"Ruppert, Jan C.; Holm, Alexander; Miehe, Sabine; Muldavin, Esteban; Snyman, Hennie A.; Wesche, Karsten; Linstädter, Anja","Meta‐analysis of <span style=""font-variant:small-caps;"">ANPP</span> and rain‐use efficiency confirms indicative value for degradation and supports non‐linear response along precipitation gradients in drylands","Journal of Vegetation Science","10.1111/j.1654-1103.2012.01420.x","1035-1050","6",23,1,0
"journalArticle",2012,"Ruppert, Jan C.; Holm, Alexander; Miehe, Sabine; Muldavin, Esteban; Snyman, Hennie A.; Wesche, Karsten; Linstädter, Anja","Meta‐analysis of ANPP and rain‐use efficiency confirms indicative value for degradation and supports non‐linear response along precipitation gradients in drylands","Journal of Vegetation Science","10.1111/j.1654-1103.2012.01420.x","1035-1050","6",23,0,1
"journalArticle",2012,"Sivandran, Gajan; Bras, Rafael L.","Identifying the optimal spatially and temporally invariant root distribution for a semiarid environment","Water Resources Research","10.1029/2012WR012055","2012WR012055","12",48,1,1
"journalArticle",2013,"Hall, Sharon J.; Trujillo, Jolene; Nakase, Dana; Strawhacker, Colleen; Kruse-Peeples, Melissa; Schaafsma, Hoski; Briggs, John","Legacies of prehistoric agricultural practices within plant and soil properties across an arid ecosystem","Ecosystems","","1273–1293","",16,0,1
"journalArticle",2013,"Hall, Sharon J.; Trujillo, Jolene; Nakase, Dana; Strawhacker, Colleen; Kruse-Peeples, Melissa; Schaafsma, Hoski; Briggs, John","Legacies of Prehistoric Agricultural Practices Within Plant and Soil Properties Across an Arid Ecosystem","Ecosystems","10.1007/s10021-013-9681-0","1273-1293","7",16,1,0
"thesis",2013,"Ruoss, Sacha B.","Restoration ecology of rare shallow-soil endemic flora from a semi-arid biodiversity hotspot","","","","",NA,0,1
"thesis",2013,"Ruoss, Sacha B.","Restoration Ecology of Rare Shallow-Soil Endemic Flora from a Semi-Arid Biodiversity Hotspot","","","","",NA,1,0
"journalArticle",2013,"Siegal, Z.; Tsoar, H.; Karnieli, A.","Aeolian Research","","","","",NA,1,0
"journalArticle",2013,"Siegal, Zehava; Tsoar, Haim; Karnieli, Arnon","Effects of prolonged drought on the vegetation cover of sand dunes in the NW Negev Desert: field survey, remote sensing and conceptual modeling","Aeolian Research","","161–173","",9,1,1
"journalArticle",2014,"Thomey, Michell L.; Collins, Scott L.; Friggens, Michael T.; Brown, Renee F.; Pockman, William T.","Effects of monsoon precipitation variability on the physiological response of two dominant C4 grasses across a semiarid ecotone","Oecologia","10.1007/s00442-014-3052-1","751-762","3",176,1,1
"journalArticle",2015,"Bork, Edward W.; Irving, Barry D.","Seasonal availability of cool-and warm-season herbage in the northern mixed prairie","Rangelands","","178–185","5",37,1,1
"journalArticle",2015,"Hoover, David L.; Duniway, Michael C.; Belnap, Jayne","Pulse-drought atop press-drought: unexpected plant responses and implications for dryland ecosystems","Oecologia","10.1007/s00442-015-3414-3","1211-1221","4",179,1,1
"journalArticle",2015,"Sala, Osvaldo E.; Gherardi, Laureano A.; Peters, Debra P. C.","Enhanced precipitation variability effects on water losses and ecosystem functioning: differential response of arid and mesic regions","Climatic Change","10.1007/s10584-015-1389-z","213-227","2",131,1,1
"thesis",2015,"Tipton, Crystal Yates-White","Improving state-and-transition models for management of sagebrush steppe ecosystems","","","","",NA,0,1
"journalArticle",2015,"Xu, Xiaoming; Li, Dejun; Luo, Yiqi","Modeled ecosystem responses to intra-annual redistribution and levels of precipitation in a prairie grassland","Ecological Modelling","10.1016/j.ecolmodel.2014.11.010","33-41","",297,1,1
"journalArticle",2016,"Gamoun, Mouldi","Rain Use Efficiency, Primary Production and Rainfall Relationships in Desert Rangelands of Tunisia","Land Degradation & Development","10.1002/ldr.2418","738-747","3",27,1,1
"journalArticle",2016,"Moxham, Claire; Dorrough, Josh; Bramwell, Mick; Farmilo, Brad J.","Fire exclusion and soil texture interact to influence temperate grassland flora in south-eastern Australia","Australian Journal of Botany","","417–426","5",64,1,1
"bookSection",2016,"Spielmann, Katherine A.; Hall, Sharon J.; Kruse-Peeples, Melissa R.; Nakase, Dana K.; Trujillo, Jolene E.","Soil Texture and Agricultural Resilience in the Prehistoric Southwest","Viewing the future in the past","","106-118","",NA,1,1
"journalArticle",2016,"Tietjen, Britta","Same rainfall amount different vegetation—how environmental conditions and their interactions influence savanna dynamics","Ecological Modelling","","13–22","",326,1,1
"journalArticle",2017,"Augustine, David J.; Derner, Justin D.; Milchunas, Daniel; Blumenthal, Dana; Porensky, Lauren M.","Grazing moderates increases in C <sub>3</sub> grass abundance over seven decades across a soil texture gradient in shortgrass steppe","Journal of Vegetation Science","10.1111/jvs.12508","562-572","3",28,1,0
"journalArticle",2017,"Augustine, David J.; Derner, Justin D.; Milchunas, Daniel; Blumenthal, Dana; Porensky, Lauren M.","Grazing moderates increases in C3 grass abundance over seven decades across a soil texture gradient in shortgrass steppe","Journal of Vegetation Science","10.1111/jvs.12508","562-572","3",28,0,1
"journalArticle",2017,"Maynard, Jonathan J.; Levi, Matthew R.","Hyper-temporal remote sensing for digital soil mapping: Characterizing soil-vegetation response to climatic variability","Geoderma","10.1016/j.geoderma.2016.09.024","94-109","",285,1,1
"journalArticle",2018,"Díaza, Ismael; Achkara, Marcel; Criscib, Carolina; Mazzeoc, Néstor","Natural and land-use drivers of primary production in a highly vulnerable region of livestock production (Sierras del Este–Uruguay)","","","","",NA,1,1
"journalArticle",2018,"Pornaro, Cristina; Vincenzi, Valentina; Furin, Stefano; Fazzini, Massimiliano; Minarelli, Luca; Macolino, Stefano","Seasonal changes in dry matter yield from Karst pastures as influenced by morphoclimatic features","Plos one","","e0204092","9",13,1,1
"journalArticle",2018,"Sanaei, Anvar; Chahouki, Mohammad Ali Zare; Ali, Arshad; Jafari, Mohammad; Azarnivand, Hossein","Abiotic and biotic drivers of aboveground biomass in semi-steppe rangelands","Science of the Total Environment","","895–905","",615,1,1
"journalArticle",2018,"Tipton, C. Y.; Ocheltree, T. W.; Mueller, K. E.; Turk, P.; Fernández‐Giménez, M. E.","Revision of a state‐and‐transition model to include descriptions of state functional attributes","Ecosphere","10.1002/ecs2.2201","e02201","5",9,1,1
"journalArticle",2018,"Zhou, Zhenghu; Wang, Chuankuan; Luo, Yiqi","Response of soil microbial communities to altered precipitation: A global synthesis","Global Ecology and Biogeography","10.1111/geb.12761","1121-1136","9",27,1,1
"journalArticle",2019,"Ali, Arshad; Lin, Si-Liang; He, Jie-Kun; Kong, Fan-Mao; Yu, Jie-Hua; Jiang, Hai-Sheng","Climatic water availability is the main limiting factor of biotic attributes across large-scale elevational gradients in tropical forests","Science of the Total Environment","","1211–1221","",647,1,1
"journalArticle",2019,"Barnard, David M.; Germino, Matthew J.; Arkle, Robert S.; Bradford, John B.; Duniway, Michael C.; Pilliod, David S.; Pyke, David A.; Shriver, Robert K.; Welty, Justin L.","Soil characteristics are associated with gradients of big sagebrush canopy structure after disturbance","Ecosphere","10.1002/ecs2.2780","e02780","6",10,1,1
"journalArticle",2019,"Díaz, Ismael; Achkar, Marcel; Crisci, Carolina; Mazzeo, Nestor","Natural and land-use drivers of primary production in a highly vulnerable region of livestock production (Sierras del Este–Uruguay)","","","","",NA,1,0
"bookSection",2019,"Epstein, H. E.; Lauenroth, W. K.; Paruelo, J. M.; Piñeiro, G.; Burke, I. C.; Barrett, J. E.","Interactions of Water and Nitrogen on Primary Productivity Across Spatial and Temporal Scales in Grassland and Shrubland Ecosystems","Dryland Ecohydrology","","417-437","",NA,1,1
"journalArticle",2019,"Mahgoub, Alaa M. M. A.","Comparative view for the impact of five eco factors on species distribution and weed community structure in Isthmus of Suez and adjoining farmland east Nile delta, Egypt","Heliyon","10.1016/j.heliyon.2019.e02161","","8",5,1,1
"journalArticle",2019,"Osborn, Blake J.; Williams, David G.","Lodgepole pine tree-ring growth, Δ 13 C and the inverse texture effect across a soil chronosequence in glacial till","Plant and Soil","","387–399","",443,0,1
"journalArticle",2019,"Osborn, Blake J.; Williams, David G.","Lodgepole pine tree-ring growth, Δ13C and the inverse texture effect across a soil chronosequence in glacial till","Plant and Soil","10.1007/s11104-019-04243-2","387-399","1-2",443,1,0
"journalArticle",2019,"Renne, Rachel R.; Bradford, John B.; Burke, Ingrid C.; Lauenroth, William K.","Soil texture and precipitation seasonality influence plant community structure in North American temperate shrub steppe","Ecology","10.1002/ecy.2824","e02824","11",100,1,1
"journalArticle",2019,"Sanaei, Anvar; Ali, Arshad","What is the role of perennial plants in semi-steppe rangelands? Direct and indirect effects of perennial on annual plant species","Ecological Indicators","","389–396","",98,0,1
"journalArticle",2019,"Sanaei, Anvar; Ali, Arshad","What is the role of perennial plants in semi-steppe rangelands? Direct and indirect effects of perennial on annual plant species","Ecological Indicators","10.1016/j.ecolind.2018.11.012","389-396","",98,1,0
"journalArticle",2019,"Sanaei, Anvar; Li, Mingshi; Ali, Arshad","Topography, grazing, and soil textures control over rangelands' vegetation quantity and quality","Science of the total environment","","134153","",697,1,1
"journalArticle",2019,"Thoma, David P.; Munson, Seth M.; Witwicki, Dana L.","Landscape pivot points and responses to water balance in national parks of the southwest US","Journal of Applied Ecology","10.1111/1365-2664.13250","157-167","1",56,1,1
"thesis",2019,"Wagner, Svenja","Effects of Water Holding Capacity and Precipitation on Above Ground Net Primary Production","","","","",NA,1,1
"journalArticle",2020,"Ali, Arshad; Sanaei, Anvar; Li, Mingshi; Nalivan, Omid Asadi; Ahmadaali, Khaled; Pour, Mohsen Javanmiri; Valipour, Ahmad; Karami, Jalil; Aminpour, Mohammad; Kaboli, Hasan","Impacts of climatic and edaphic factors on the diversity, structure and biomass of species-poor and structurally-complex forests","Science of the total environment","","135719","",706,1,1
"thesis",2020,"Aney, Gjertrud E.","Landscape-Scale Modeling of Drought-and Insect-Related Tree Mortality in Northern New Mexico","","","","",NA,1,1
"journalArticle",2020,"Detsis, Vassilis; Efthimiou, Georgios; Theodoropoulou, Olga; Siorokou, Stavroula","Determination of the environmental factors that affect the growth and survival of Greek Fir seedlings","Land","","100","4",9,1,1
"journalArticle",2020,"Duncan, Corrine; Good, Megan K.; Sluiter, Ian; Cook, Simon; Schultz, Nick L.","Soil reconstruction after mining fails to restore soil function in an Australian arid woodland","Restoration Ecology","10.1111/rec.13166","","S1",28,1,1
"journalArticle",2020,"Goebl, April M.; Kane, Nolan C.; Doak, Daniel F.; Rieseberg, Loren H.; Ostevik, Kate L.","Contrasting selection at multiple life stages maintains divergent adaptation between sunflower ecotypes","bioRxiv","","2020–08","",NA,1,1
"journalArticle",2020,"Villa, Pedro Manuel; Ali, Arshad; Martins, Sebastiao Venancio; de Oliveira Neto, Silvio Nolasco; Rodrigues, Alice Cristina; Teshome, Mindaye; Carvalho, Fabricio Alvim; Heringer, Gustavo; Gastauer, Markus","Stand structural attributes and functional trait composition overrule the effects of functional divergence on aboveground biomass during Amazon forest succession","Forest Ecology and Management","","118481","",477,1,1
"journalArticle",2020,"Zang, Yong-Xin; Min, Xiao-Jun; de Dios, Víctor Resco; Ma, Jian-Ying; Sun, Wei","Extreme drought affects the productivity, but not the composition, of a desert plant community in Central Asia differentially across microtopographies","Science of the Total Environment","","137251","",717,1,1
"journalArticle",2021,"Gagnon, Alyson; Ploughe, Laura W; Harris, Michelle P; Gardner, Wendy C; Pypker, Thomas; Fraser, Lauchlan H","Grassland reclamation of a copper mine tailings facility: Long‐term effects of biosolids on plant community responses","Applied Vegetation Science","10.1111/avsc.12612","e12612","4",24,1,1
"journalArticle",2021,"Hou, Enqing; Litvak, Marcy E.; Rudgers, Jennifer A.; Jiang, Lifen; Collins, Scott L.; Pockman, William T.; Hui, Dafeng; Niu, Shuli; Luo, Yiqi","Divergent responses of primary production to increasing precipitation variability in global drylands","Global Change Biology","10.1111/gcb.15801","5225-5237","20",27,1,1
"journalArticle",2021,"Jiang, Lubing; Liu, Hongyan; Peng, Zhaoyu; Dai, Jingyu; Zhao, Fengjun; Chen, Zhiting","Root system plays an important role in responses of plant to drought in the steppe of China","Land Degradation & Development","10.1002/ldr.3930","3498-3506","13",32,1,1
"thesis",2021,"KONG, Kaman","Processes linking wind erosion and ecosystem dynamics in a dust source hotspot in East Asia","","","","",NA,0,1
"thesis",2021,"KONG, Kaman","Processes linking wind erosion and ecosystem dynamics in a dust source hotspot in East Asia (東アジアのダスト発生ホットスポットにおいて風食と生態系動態を結び付けるプロセス)","","","","",NA,1,0
"journalArticle",2021,"Kong, Kaman; Nandintsetseg, Banzragch; Shinoda, Masato","How plant production in the Mongolian grasslands is affected by wind-eroded coarse-textured topsoil","Journal of Arid Environments","","104443","",189,1,1
"preprint",2021,"Küçük, Çağlar; Koirala, Sujan; Carvalhais, Nuno; Miralles, Diego G.; Reichstein, Markus; Jung, Martin","Characterising the response of vegetation cover to water limitation in Africa using geostationary satellites","","10.1002/essoar.10504964.2","","",NA,1,1
"journalArticle",2021,"Peters, Debra PC; Savoy, Heather M.; Stillman, Susan; Huang, Haitao; Hudson, Amy R.; Sala, Osvaldo E.; Vivoni, Enrique R.","Plant species richness in multiyear wet and dry periods in the Chihuahuan Desert","Climate","","130","8",9,1,1
"journalArticle",2021,"Zang, Yong‐Xin; Ma, Jian‐Ying; Zhou, Xiao‐Bing; Tao, Ye; Yin, Ben‐Feng; Zhang, Yuan‐Ming","Extreme precipitation increases the productivity of a desert ephemeral plant community in Central Asia, but there is no slope position effect","Journal of Vegetation Science","10.1111/jvs.13077","e13077","5",32,1,1
"journalArticle",2022,"Ali, Arshad; Mattsson, Eskil; Nissanka, Sarath Premalal","Big-sized trees and species-functional diversity pathways mediate divergent impacts of environmental factors on individual biomass variability in Sri Lankan tropical forests","Journal of Environmental Management","","115177","",315,1,1
"journalArticle",2022,"Jiang, Lubing; Wu, Lu; Liu, Hongyan; He, Wenqi; Shi, Liang; Xu, Chongyang; Xiang, Changlin","Coarsened soil reduces drought resistance of fibrous-rooted species on degraded steppe","Ecological Indicators","","109644","",145,1,1
"journalArticle",2022,"Küçük, Çağlar; Koirala, Sujan; Carvalhais, Nuno; Miralles, Diego G.; Reichstein, Markus; Jung, Martin","Characterizing the Response of Vegetation Cover to Water Limitation in Africa Using Geostationary Satellites","Journal of Advances in Modeling Earth Systems","10.1029/2021MS002730","e2021MS002730","3",14,1,1
"journalArticle",2022,"Shayaguli, J.; Zang, Y.X.; Yin, B.F.; Mamtimin, S.; Zhang, Y.M.","Responses of aboveground and belowground net primary productivity of ephemeral plants to extreme drought and extreme precipitation.","Chinese Journal of Applied Ecology","","3245-3252","12",33,1,1
"thesis",2022,"Smith, Tanner Corless","Biophysical Factors Control Invasive Grass Hot Spots in the Mojave Desert","","","","",NA,1,1
"journalArticle",2022,"Veblen, Kari E.; Nehring, Kyle C.; Duniway, Michael C.; Knight, Anna; Monaco, Thomas A.; Schupp, Eugene W.; Boettinger, Janis L.; Villalba, Juan J.; Fick, Stephen; Brungard, Colby; Thacker, Eric","Soil depth and precipitation moderate soil textural effects on seedling survival of a foundation shrub species","Restoration Ecology","10.1111/rec.13700","e13700","6",30,1,1
"journalArticle",2022,"Zang, Yong-Xin; Ma, Jian-Ying; Zhou, Xiao-Bing; Tao, Ye; Yin, Ben-Feng; Shayaguli, Jigeer; Zhang, Yuan-Ming","Effects of extreme drought and extreme precipitation on aboveground productivity of ephemeral plants across different slope positions along sand dunes","Chinese Journal of Plant Ecology","10.17521/cjpe.2021.0473","1537-1550","12",46,0,1
